transaction_id,customer_id,date,store_region,item,category,unit_price
T003759,C00400,2025-11-26 20:51:00,West,Tomato Pasta Sauce,Pasta_Sauce,3.1
T003500,C00905,2025-12-05 19:30:00,West,Dish Soap,Household,3.2
T004686,C00005,2026-01-25 17:48:00,West,Trash Bags,Household,6.1
T001558,C00221,2026-03-31 19:38:00,North,Strawberry Jam,Spreads,3.6
T002211,C01372,2025-12-15 17:23:00,South,Potato Chips,Snacks,3.1
T004887,C00843,2025-06-10 11:21:00,West,Chicken Breast,Meat,7.5
T001069,C01525,2025-11-11 09:23:00,North,Nutella,Spreads,5.9
T001032,C00657,2026-03-15 08:54:00,West,Greek Yogurt,Dairy,3.3
T003119,C00794,2026-02-26 16:02:00,East,White Bread,Bakery,2.5
T000595,C00788,2025-11-13 11:55:00,East,Tortilla Chips,Snacks,3.3
T004069,C00942,2025-06-16 14:26:00,West,Cheddar Cheese,Dairy,5.2
T002184,C00921,2026-03-18 09:51:00,East,Trash Bags,Household,6.1
T000510,C01658,2025-08-18 16:56:00,East,Ketchup,BBQ,2.6
T002357,C01578,2025-09-25 12:27:00,North,Coffee,Breakfast,8.5
T000835,C00945,2026-05-29 16:40:00,South,Cereal,Breakfast,4.2
T000167,C01209,2025-11-06 16:46:00,West,Ground Beef,Meat,6.9
T002491,C01441,2026-03-09 08:49:00,East,Tortilla Chips,Snacks,3.3
T001848,C01025,2025-09-29 20:42:00,South,Milk 1L,Dairy,1.6
T000951,C00887,2025-11-15 18:17:00,East,Frozen Vegetables,Frozen,3.1
T001241,C00100,2025-08-08 07:09:00,North,Guacamole Dip,Snacks,4.2
T001775,C00631,2026-04-22 09:53:00,South,Sparkling Water,Beverages,1.8
T000391,C01461,2026-03-17 15:13:00,East,Peanut Butter,Spreads,4.5
T002966,C01661,2025-08-13 15:20:00,West,Coffee,Breakfast,8.5
T002343,C01671,2026-02-04 15:23:00,East,Tomatoes,Produce,2.3
T000735,C00651,2026-04-28 13:26:00,North,BBQ Sauce,BBQ,3.9
T003268,C01183,2025-10-20 12:40:00,West,Ice Bag,Party,2.2
T000647,C00246,2025-11-17 10:52:00,East,Balloons Pack,Party,3.5
T002145,C01317,2025-07-10 18:21:00,East,Tortilla Chips,Snacks,3.3
T004057,C00093,2026-04-06 11:28:00,West,Bananas,Produce,1.2
T001717,C01562,2025-07-31 09:22:00,South,Baby Formula,Baby,18.0
T003575,C00484,2026-03-16 12:11:00,East,Frozen Fries,Frozen,3.4
T003704,C00624,2026-03-02 13:05:00,West,Strawberry Jam,Spreads,3.6
T001390,C01006,2025-11-03 18:43:00,South,White Bread,Bakery,2.5
T004884,C00507,2026-04-17 07:58:00,South,Potato Chips,Snacks,3.1
T001677,C00414,2025-07-17 14:24:00,East,Bagels,Bakery,3.2
T002532,C00882,2026-02-25 10:12:00,North,Garlic Bread,Pasta_Sauce,3.0
T001922,C00315,2025-07-09 10:46:00,West,Ground Beef,Meat,6.9
T001554,C00351,2026-03-11 20:57:00,North,Greek Yogurt,Dairy,3.3
T004187,C01416,2025-07-04 09:13:00,West,Sugar,Breakfast,2.2
T003645,C00064,2025-10-16 16:37:00,North,Charcoal Bag,BBQ,8.2
T001562,C00350,2026-02-09 08:45:00,East,BBQ Sauce,BBQ,3.9
T000890,C00552,2025-10-21 14:33:00,North,Sausages,Meat,4.8
T003185,C00595,2026-03-26 16:51:00,South,Salsa Dip,Snacks,3.8
T000713,C00261,2025-11-06 18:41:00,West,Salsa Dip,Snacks,3.8
T000013,C00143,2026-02-16 18:26:00,North,Bacon,Meat,5.4
T000953,C00967,2025-06-28 10:45:00,South,Wine Bottle,Beverages,12.5
T004109,C01147,2026-05-15 18:09:00,North,Trash Bags,Household,6.1
T002031,C01229,2026-05-05 18:04:00,West,Chicken Breast,Meat,7.5
T001959,C00523,2026-05-01 10:25:00,South,Chicken Breast,Meat,7.5
T002845,C01799,2025-09-28 11:00:00,West,Trash Bags,Household,6.1
T003750,C01385,2025-07-13 20:13:00,East,Salsa Dip,Snacks,3.8
T001431,C01786,2026-02-09 10:47:00,North,Bananas,Produce,1.2
T002579,C00364,2025-06-16 14:45:00,North,Ground Beef,Meat,6.9
T004405,C01769,2026-02-17 15:56:00,East,White Bread,Bakery,2.5
T003921,C01323,2026-05-09 10:05:00,South,Orange Juice,Breakfast,3.9
T000467,C01242,2025-12-20 12:15:00,West,Tomatoes,Produce,2.3
T003600,C00313,2025-12-20 13:11:00,North,Sugar,Breakfast,2.2
T004058,C01792,2025-08-22 07:49:00,East,Chicken Breast,Meat,7.5
T000121,C01510,2025-11-13 18:08:00,North,Orange Juice,Breakfast,3.9
T003384,C01565,2025-06-21 20:54:00,East,Paper Towels,Household,5.5
T002237,C00137,2025-09-14 10:31:00,North,White Bread,Bakery,2.5
T000575,C01096,2025-10-26 15:26:00,South,Bagels,Bakery,3.2
T000170,C01505,2026-04-18 17:45:00,East,Frozen Pizza,Frozen,5.9
T002227,C00575,2026-01-14 07:55:00,West,Milk 1L,Dairy,1.6
T003535,C01501,2025-12-16 08:01:00,South,Ground Beef,Meat,6.9
T002453,C01562,2025-11-28 09:08:00,North,Wine Bottle,Beverages,12.5
T003761,C00971,2025-08-18 18:32:00,North,Energy Drink,Beverages,2.4
T002374,C00235,2025-08-23 16:50:00,North,Apples,Produce,2.1
T000914,C00459,2025-12-17 10:12:00,South,Oatmeal,Breakfast,3.7
T002894,C00686,2025-11-03 17:57:00,West,Ground Beef,Meat,6.9
T003900,C00054,2025-08-28 13:06:00,East,Greek Yogurt,Dairy,3.3
T003275,C00680,2025-07-12 10:45:00,South,Coffee,Breakfast,8.5
T003549,C00302,2025-12-07 08:39:00,North,Onions,Produce,1.5
T003917,C01516,2025-11-06 15:02:00,North,Candles,Party,4.0
T003507,C00208,2025-09-14 19:59:00,North,Eggs (12ct),Dairy,3.5
T002722,C00955,2025-06-16 12:27:00,North,Frozen Fries,Frozen,3.4
T004488,C01678,2026-01-26 19:35:00,North,Honey,Spreads,6.2
T001932,C01071,2025-07-31 15:50:00,West,Beer 6-Pack,Beverages,9.9
T002451,C00141,2025-06-24 10:12:00,East,Paper Towels,Household,5.5
T005133,C00878,2026-04-24 09:38:00,East,Cereal,Breakfast,4.2
T001489,C00235,2025-06-24 08:10:00,North,Laundry Detergent,Household,8.9
T001895,C00509,2025-08-31 12:36:00,South,Lettuce,Produce,1.8
T003263,C01389,2026-02-21 09:31:00,North,Penne,Pasta_Sauce,1.9
T003566,C00873,2025-11-21 08:02:00,North,Ice Cream,Frozen,4.7
T004921,C01404,2026-05-12 18:43:00,East,Wine Bottle,Beverages,12.5
T003023,C00666,2025-07-28 20:34:00,West,Pretzels,Snacks,2.9
T002576,C00056,2025-10-25 09:10:00,West,Cereal,Breakfast,4.2
T000421,C01440,2025-11-03 08:16:00,East,Frozen Vegetables,Frozen,3.1
T002708,C01552,2026-05-10 13:38:00,South,Cheddar Cheese,Dairy,5.2
T002637,C01513,2025-12-24 14:48:00,South,Dish Soap,Household,3.2
T001933,C00213,2025-09-01 08:36:00,East,Salsa Dip,Snacks,3.8
T002047,C00787,2025-09-18 07:36:00,East,Greek Yogurt,Dairy,3.3
T005151,C01555,2025-06-26 15:17:00,South,Paper Towels,Household,5.5
T004597,C00891,2025-08-30 09:17:00,West,Bacon,Meat,5.4
T005158,C01208,2025-12-19 09:55:00,West,Frozen Fries,Frozen,3.4
