support,itemsets,itemset_size
0.10583028670386761,Ground Beef,1
0.09717144506446027,Laundry Detergent,1
0.09620935154897056,Bagels,1
0.09409274581489321,Milk 1L,1
0.09332307100250144,Paper Towels,1
0.09236097748701173,Frozen Fries,1
0.09197614008081585,Frozen Pizza,1
0.09178372137771791,Croissants,1
0.09120646526842409,Dish Soap,1
0.09101404656532615,Chicken Breast,1
0.09062920915913027,Whole Wheat Bread,1
0.08947469694054262,Ice Cream,1
0.08908985953434674,Salsa Dip,1
0.08908985953434674,White Bread,1
0.08832018472195498,Guacamole Dip,1
0.08812776601885704,Sausages,1
0.08812776601885704,Bacon,1
0.0879353473157591,Frozen Vegetables,1
0.0879353473157591,Trash Bags,1
0.08735809120646527,Butter,1
0.08716567250336733,Cola 2L,1
0.08427939195689821,Eggs (12ct),1
0.08350971714450645,Sugar,1
0.08197036751972292,Wine Bottle,1
0.08177794881662498,Beer 6-Pack,1
0.0790840869732538,Energy Drink,1
0.07889166827015585,Pretzels,1
0.07889166827015585,Greek Yogurt,1
0.07831441216086203,Cereal,1
0.07715989994227439,Cheddar Cheese,1
0.07619780642678468,Coffee,1
0.07600538772368674,Oatmeal,1
0.07408120069270734,Tortilla Chips,1
0.07408120069270734,Sparkling Water,1
0.07273426977102174,Orange Juice,1
0.07177217625553203,Potato Chips,1
0.06984798922455263,Bananas,1
0.06869347700596498,Apples,1
0.0673465460842794,Avocado,1
0.06446026553781027,Lettuce,1
0.06426784683471233,Tomatoes,1
0.06041947277275351,Onions,1
0.049259187993072925,Tomato Pasta Sauce,1
0.03348085433904176,Strawberry Jam,1
0.03290359822974793,Ketchup,1
0.03271117952664999,Paper Plates,1
0.032133923417356165,Burger Buns,1
0.02867038676159323,BBQ Sauce,1
0.028093130652299403,Baby Wipes,1
0.02770829324610352,Candles,1
0.02578410621512411,Peanut Butter,1
0.02405233788724264,Baby Food Jars,1
0.02347508177794882,Parmesan Cheese,1
0.022705406965557052,Penne,1
0.02232056955936117,Mustard,1
0.02232056955936117,"Cereal, Milk 1L",2
0.02212815085626323,Charcoal Bag,1
0.0205888012314797,Balloons Pack,1
0.02039638252838176,"Butter, White Bread",2
0.02020396382528382,Ice Bag,1
0.019626707715989993,Nutella,1
0.019626707715989993,Honey,1
