item_a,item_b,co_occurrences
Cereal,Milk 1L,116
Butter,White Bread,106
Bacon,Eggs (12ct),86
Burger Buns,Ground Beef,80
Cola 2L,Frozen Pizza,80
Penne,Tomato Pasta Sauce,79
Spaghetti,Tomato Pasta Sauce,78
Salsa Dip,Tortilla Chips,77
Ground Beef,Ketchup,75
Guacamole Dip,Tortilla Chips,74
Frozen Pizza,Ground Beef,70
Bagels,Frozen Pizza,70
Bagels,Frozen Vegetables,70
Coffee,Sugar,70
Frozen Pizza,Whole Wheat Bread,68
Peanut Butter,Strawberry Jam,67
Chicken Breast,Dish Soap,66
Bagels,Paper Towels,66
Bacon,Frozen Fries,66
Bagels,Ground Beef,66
